country_name,region_name,year,population,population_density,population_percent_urban,gdp_per_capita,obesity_rate,pneumonia_deaths_per_100k
Pakistan,,2020,220892340,275.2893187,36.666,1482.403063,8.6,35.0810628
Palestine,,2020,4550000,847,76.4,3199,,
Panama,,2020,4314767,56.18607748,67.709,15575.07255,22.7,22.63322706
Papua New Guinea,,2020,8947024,19.00436338,13.169,2730.274799,21.3,113.2314881
Paraguay,,2020,7132538,17.50835892,61.585,5821.814323,20.3,26.54566891
Peru,,2020,32971854,24.99160625,77.907,6941.235848,19.7,51.43508834
Philippines,,2020,109581078,357.6883053,46.907,3102.713363,6.4,126.0522128
Poland,,2020,37846611,124.0358862,60.058,15420.91116,23.1,15.88291442
Portugal,,2020,10196709,112.2394535,65.211,23407.90659,20.8,24.58782313
Puerto Rico,,2020,2860853,360.2201804,93.578,31651.34815,,21.79625886
Qatar,,2020,2881053,239.5931955,99.135,68793.78444,35.1,18.80268861
Romania,,2020,19237691,84.63984701,53.998,12301.1864,22.5,21.69072367
Russia,,2020,145934462,8.822079555,74.433,11288.87845,23.1,17.73043811
Rwanda,,2020,12952218,498.6598703,17.211,772.9444599,5.8,93.22594955
San Marino,,2020,34232,566,97.1,48500,,
Saudi Arabia,,2020,34813871,15.67665431,83.844,23338.96346,35.4,28.64011854
Senegal,,2020,15854323,83,48,1522,,97.21
Serbia,,2020,8737371,79.83174022,56.092,7246.731656,21.5,10.30197527
Seychelles,,2020,98347,210.3521739,56.691,16433.93529,14,79.01521626
Sierra Leone,,2020,7976983,105.987171,42.055,533.9911843,8.7,138.2487198
Singapore,,2020,5850342,7952.998418,100,64581.94402,6.1,41.84535578
Slovak Republic,,2020,5459642,113.2905782,53.726,19442.70576,20.5,20.22993263
Slovenia,,2020,2078938,102.6398595,54.541,26123.97387,20.2,12.24346427
Solomon Islands,,2020,652857,25,26,2138,,44
Somalia,,2020,15893219,25,45.55,315,,154.3
South Africa,,2020,59308690,47.63011978,66.355,6374.028196,28.3,62.16391298
South Korea,,2020,51269185,529.6521036,81.459,31362.75147,4.7,17.67501381
South Sudan,,2020,11193725,18,19.615,1119.651332,,140.1842424
Spain,,2020,46754778,94,80.6,30371,23.8,10.16887927
Sri Lanka,,2020,21413249,345.558922,18.476,4102.48135,5.2,24.19874754
Sudan,,2020,43849260,25,34.642,977.2736357,,30.39750247
Suriname,,2020,575990,4,66.1,6234,,34.57
Sweden,,2020,10099265,25.00104343,87.431,54608.36025,20.6,11.20746289
Switzerland,,2020,8654622,219,73.85,82797,19.5,7.886846735
